MilleParameter                              Sensor          half   trans./rot.     Direction   MP layer ID
         11305         module_L3t_halfmodule_axial             1             1             3             5
         12105         module_L3t_halfmodule_axial             1             2             1             5
         12205         module_L3t_halfmodule_axial             1             2             2             5
         12305         module_L3t_halfmodule_axial             1             2             3             5
         11106        module_L3t_halfmodule_stereo             1             1             1             6
         11206        module_L3t_halfmodule_stereo             1             1             2             6
         11306        module_L3t_halfmodule_stereo             1             1             3             6
         12106        module_L3t_halfmodule_stereo             1             2             1             6
         12206        module_L3t_halfmodule_stereo             1             2             2             6
         12306        module_L3t_halfmodule_stereo             1             2             3             6
         21108    module_L4b_halfmodule_axial_hole             2             1             1             8
         21208    module_L4b_halfmodule_axial_hole             2             1             2             8
         21308    module_L4b_halfmodule_axial_hole             2             1             3             8
         22108    module_L4b_halfmodule_axial_hole             2             2             1             8
         22208    module_L4b_halfmodule_axial_hole             2             2             2             8
         22308    module_L4b_halfmodule_axial_hole             2             2             3             8
         21110    module_L4b_halfmodule_axial_slot             2             1             1            10
         21210    module_L4b_halfmodule_axial_slot             2             1             2            10
         21310    module_L4b_halfmodule_axial_slot             2             1             3            10
         22110    module_L4b_halfmodule_axial_slot             2             2             1            10
         22210    module_L4b_halfmodule_axial_slot             2             2             2            10
         22310    module_L4b_halfmodule_axial_slot             2             2             3            10
         21107   module_L4b_halfmodule_stereo_hole             2             1             1             7
         21207   module_L4b_halfmodule_stereo_hole             2             1             2             7
         21307   module_L4b_halfmodule_stereo_hole             2             1             3             7
         22107   module_L4b_halfmodule_stereo_hole             2             2             1             7
         22207   module_L4b_halfmodule_stereo_hole             2             2             2             7
         22307   module_L4b_halfmodule_stereo_hole             2             2             3             7
         21109   module_L4b_halfmodule_stereo_slot             2             1             1             9
         21209   module_L4b_halfmodule_stereo_slot             2             1             2             9
         21309   module_L4b_halfmodule_stereo_slot             2             1             3             9
         22109   module_L4b_halfmodule_stereo_slot             2             2             1             9
         22209   module_L4b_halfmodule_stereo_slot             2             2             2             9
         22309   module_L4b_halfmodule_stereo_slot             2             2             3             9
         11107    module_L4t_halfmodule_axial_hole             1             1             1             7
         11207    module_L4t_halfmodule_axial_hole             1             1             2             7
         11307    module_L4t_halfmodule_axial_hole             1             1             3             7
         12107    module_L4t_halfmodule_axial_hole             1             2             1             7
         12207    module_L4t_halfmodule_axial_hole             1             2             2             7
         12307    module_L4t_halfmodule_axial_hole             1             2             3             7
         11109    module_L4t_halfmodule_axial_slot             1             1             1             9
         11209    module_L4t_halfmodule_axial_slot             1             1             2             9
         11309    module_L4t_halfmodule_axial_slot             1             1             3             9
         12109    module_L4t_halfmodule_axial_slot             1             2             1             9
         12209    module_L4t_halfmodule_axial_slot             1             2             2             9
         12309    module_L4t_halfmodule_axial_slot             1             2             3             9
         11108   module_L4t_halfmodule_stereo_hole             1             1             1             8
         11208   module_L4t_halfmodule_stereo_hole             1             1             2             8
         11308   module_L4t_halfmodule_stereo_hole             1             1             3             8
         12108   module_L4t_halfmodule_stereo_hole             1             2             1             8
         12208   module_L4t_halfmodule_stereo_hole             1             2             2             8
         12308   module_L4t_halfmodule_stereo_hole             1             2             3             8
         11110   module_L4t_halfmodule_stereo_slot             1             1             1            10
         11210   module_L4t_halfmodule_stereo_slot             1             1             2            10
         11310   module_L4t_halfmodule_stereo_slot             1             1             3            10
         12110   module_L4t_halfmodule_stereo_slot             1             2             1            10
         12210   module_L4t_halfmodule_stereo_slot             1             2             2            10
         12310   module_L4t_halfmodule_stereo_slot             1             2             3            10
         21112    module_L5b_halfmodule_axial_hole             2             1             1            12
         21212    module_L5b_halfmodule_axial_hole             2             1             2            12
         21312    module_L5b_halfmodule_axial_hole             2             1             3            12
         22112    module_L5b_halfmodule_axial_hole             2             2             1            12
         22212    module_L5b_halfmodule_axial_hole             2             2             2            12
         22312    module_L5b_halfmodule_axial_hole             2             2             3            12
         21114    module_L5b_halfmodule_axial_slot             2             1             1            14
         21214    module_L5b_halfmodule_axial_slot             2             1             2            14
         21314    module_L5b_halfmodule_axial_slot             2             1             3            14
         22114    module_L5b_halfmodule_axial_slot             2             2             1            14
         22214    module_L5b_halfmodule_axial_slot             2             2             2            14
         22314    module_L5b_halfmodule_axial_slot             2             2             3            14
         21111   module_L5b_halfmodule_stereo_hole             2             1             1            11
         21211   module_L5b_halfmodule_stereo_hole             2             1             2            11
         21311   module_L5b_halfmodule_stereo_hole             2             1             3            11
         22111   module_L5b_halfmodule_stereo_hole             2             2             1            11
         22211   module_L5b_halfmodule_stereo_hole             2             2             2            11
         22311   module_L5b_halfmodule_stereo_hole             2             2             3            11
         21113   module_L5b_halfmodule_stereo_slot             2             1             1            13
         21213   module_L5b_halfmodule_stereo_slot             2             1             2            13
         21313   module_L5b_halfmodule_stereo_slot             2             1             3            13
         22113   module_L5b_halfmodule_stereo_slot             2             2             1            13
         22213   module_L5b_halfmodule_stereo_slot             2             2             2            13
         22313   module_L5b_halfmodule_stereo_slot             2             2             3            13
         11111    module_L5t_halfmodule_axial_hole             1             1             1            11
         11211    module_L5t_halfmodule_axial_hole             1             1             2            11
         11311    module_L5t_halfmodule_axial_hole             1             1             3            11
         12111    module_L5t_halfmodule_axial_hole             1             2             1            11
         12211    module_L5t_halfmodule_axial_hole             1             2             2            11
         12311    module_L5t_halfmodule_axial_hole             1             2             3            11
         11113    module_L5t_halfmodule_axial_slot             1             1             1            13
         11213    module_L5t_halfmodule_axial_slot             1             1             2            13
         11313    module_L5t_halfmodule_axial_slot             1             1             3            13
         12113    module_L5t_halfmodule_axial_slot             1             2             1            13
         12213    module_L5t_halfmodule_axial_slot             1             2             2            13
         12313    module_L5t_halfmodule_axial_slot             1             2             3            13
         11112   module_L5t_halfmodule_stereo_hole             1             1             1            12
         11212   module_L5t_halfmodule_stereo_hole             1             1             2            12
         11312   module_L5t_halfmodule_stereo_hole             1             1             3            12
         12112   module_L5t_halfmodule_stereo_hole             1             2             1            12
         12212   module_L5t_halfmodule_stereo_hole             1             2             2            12
         12312   module_L5t_halfmodule_stereo_hole             1             2             3            12
         11114   module_L5t_halfmodule_stereo_slot             1             1             1            14
         11214   module_L5t_halfmodule_stereo_slot             1             1             2            14
         11314   module_L5t_halfmodule_stereo_slot             1             1             3            14
         12114   module_L5t_halfmodule_stereo_slot             1             2             1            14
         12214   module_L5t_halfmodule_stereo_slot             1             2             2            14
         12314   module_L5t_halfmodule_stereo_slot             1             2             3            14
         21116    module_L6b_halfmodule_axial_hole             2             1             1            16
         21216    module_L6b_halfmodule_axial_hole             2             1             2            16
         21316    module_L6b_halfmodule_axial_hole             2             1             3            16
         22116    module_L6b_halfmodule_axial_hole             2             2             1            16
         22216    module_L6b_halfmodule_axial_hole             2             2             2            16
         22316    module_L6b_halfmodule_axial_hole             2             2             3            16
         21118    module_L6b_halfmodule_axial_slot             2             1             1            18
         21218    module_L6b_halfmodule_axial_slot             2             1             2            18
         21318    module_L6b_halfmodule_axial_slot             2             1             3            18
         22118    module_L6b_halfmodule_axial_slot             2             2             1            18
         22218    module_L6b_halfmodule_axial_slot             2             2             2            18
         22318    module_L6b_halfmodule_axial_slot             2             2             3            18
         21115   module_L6b_halfmodule_stereo_hole             2             1             1            15
         21215   module_L6b_halfmodule_stereo_hole             2             1             2            15
         21315   module_L6b_halfmodule_stereo_hole             2             1             3            15
         22115   module_L6b_halfmodule_stereo_hole             2             2             1            15
         22215   module_L6b_halfmodule_stereo_hole             2             2             2            15
         22315   module_L6b_halfmodule_stereo_hole             2             2             3            15
         21117   module_L6b_halfmodule_stereo_slot             2             1             1            17
         21217   module_L6b_halfmodule_stereo_slot             2             1             2            17
         21317   module_L6b_halfmodule_stereo_slot             2             1             3            17
         22117   module_L6b_halfmodule_stereo_slot             2             2             1            17
         22217   module_L6b_halfmodule_stereo_slot             2             2             2            17
         22317   module_L6b_halfmodule_stereo_slot             2             2             3            17
         11115    module_L6t_halfmodule_axial_hole             1             1             1            15
         11215    module_L6t_halfmodule_axial_hole             1             1             2            15
         11315    module_L6t_halfmodule_axial_hole             1             1             3            15
         12115    module_L6t_halfmodule_axial_hole             1             2             1            15
         12215    module_L6t_halfmodule_axial_hole             1             2             2            15
         12315    module_L6t_halfmodule_axial_hole             1             2             3            15
         11117    module_L6t_halfmodule_axial_slot             1             1             1            17
         11217    module_L6t_halfmodule_axial_slot             1             1             2            17
         11317    module_L6t_halfmodule_axial_slot             1             1             3            17
         12117    module_L6t_halfmodule_axial_slot             1             2             1            17
         12217    module_L6t_halfmodule_axial_slot             1             2             2            17
         12317    module_L6t_halfmodule_axial_slot             1             2             3            17
         11116   module_L6t_halfmodule_stereo_hole             1             1             1            16
         11216   module_L6t_halfmodule_stereo_hole             1             1             2            16
         11316   module_L6t_halfmodule_stereo_hole             1             1             3            16
         12116   module_L6t_halfmodule_stereo_hole             1             2             1            16
         12216   module_L6t_halfmodule_stereo_hole             1             2             2            16
         12316   module_L6t_halfmodule_stereo_hole             1             2             3            16
         11118   module_L6t_halfmodule_stereo_slot             1             1             1            18
         11218   module_L6t_halfmodule_stereo_slot             1             1             2            18
         11318   module_L6t_halfmodule_stereo_slot             1             1             3            18
         12118   module_L6t_halfmodule_stereo_slot             1             2             1            18
         12218   module_L6t_halfmodule_stereo_slot             1             2             2            18
         12318   module_L6t_halfmodule_stereo_slot             1             2             3            18
